year,age,event,category1,category2,New_Column,Name
1993,62,"Between 21 September 1993 and 24 September, Boris Yeltsin was confronted by popular unrest.",President of the Russian Federation,1991–1996: first term,Boris Yeltsin.csv,Boris Yeltsin
1994,63,"By December 1994, the month in which was signed the Budapest Memorandum, Bill Clinton began to understand that Russia had concluded that Boris Yeltsin was ""subordinating, if not abandoning, integration [of Russia] to NATO expansion.""",President of the Russian Federation,1991–1996: first term,Boris Yeltsin.csv,Boris Yeltsin
1995,64,"In July 1995 by which time Russia had signed up to Partnership for Peace (PfP), Boris Yeltsin said to Bill Clinton ""we must stick to we's position, which is that there should be no rapid expansion of NATO..",President of the Russian Federation,1991–1996: first term,Boris Yeltsin.csv,Boris Yeltsin
1996,65,Panic struck the Yeltsin team when opinion polls suggested that Boris Yeltsin could not win; some members of Boris Yeltsin's entourage urged Boris Yeltsin to cancel the 1996 presidential elections and effectively rule as a dictator from then on.,President of the Russian Federation,1991–1996: first term,Boris Yeltsin.csv,Boris Yeltsin
1996,65,"Boris Yeltsin underwent emergency quintuple heart bypass surgery in November 1996, and remained in the hospital for months.",President of the Russian Federation,1996–1999: Second term,Boris Yeltsin.csv,Boris Yeltsin
1999,68,"During the 1999 Kosovo War, Boris Yeltsin strongly opposed the NATO military campaign against Yugoslavia, and warned of possible Russian intervention if NATO deployed ground troops to Kosovo.",President of the Russian Federation,1996–1999: Second term,Boris Yeltsin.csv,Boris Yeltsin
1991,60,"Boris Yeltsin was charged with several unconstitutional activities, including the signing of the Belovezha Accords dissolving the Soviet Union in December 1991, the coup-d'état in October 1993, and initiating the war in Chechnya in 1994.",President of the Russian Federation,1996–1999: Second term,Boris Yeltsin.csv,Boris Yeltsin
1999,68,"Boris Yeltsin resigned a few weeks later on 31 December 1999, appointing Vladimir Putin, relatively unknown at that time as Boris Yeltsin's successor.",President of the Russian Federation,1996–1999: Second term,Boris Yeltsin.csv,Boris Yeltsin
1990,59,"Boris Yeltsin is known to have suffered heart problems in March 1990, just after being elected as a member of parliament.",Heart disease and alcoholism,,Boris Yeltsin.csv,Boris Yeltsin
1995,64,"Clinton's claimed that on a 1995 visit to Washington, Boris Yeltsin was found on Pennsylvania Avenue, drunk, in Boris Yeltsin's underwear and trying to hail a taxi cab in order to find pizza.[0",Heart disease and alcoholism,,Boris Yeltsin.csv,Boris Yeltsin
1999,68,"In October 1999, Boris Yeltsin was hospitalized with flu and a fever, and in the following month, Boris Yeltsin was hospitalized with pneumonia, just days after receiving treatment for bronchitis.",Heart disease and alcoholism,,Boris Yeltsin.csv,Boris Yeltsin
2001,70,In January 2001 Boris Yeltsin was hospitalized for six weeks with pneumonia resulting from a viral infection.,Life after resignation,,Boris Yeltsin.csv,Boris Yeltsin
2007,76,"Boris Yeltsin was buried in the Novodevichy Cemetery on 25 April 2007, following a period during which Boris Yeltsin's body had lain in repose in the Cathedral of Christ the Saviour in Moscow.[0",Death and funeral,,Boris Yeltsin.csv,Boris Yeltsin
1956,25,"Boris Yeltsin was survived by Boris Yeltsin's wife, Naina Iosifovna Yeltsina, whom Boris Yeltsin married in 1956, and their two daughters Yelena and Tatyana, born in 1957 and 1960, respectively.",Death and funeral,,Boris Yeltsin.csv,Boris Yeltsin
1995,32,Brad Pitt gave critically acclaimed performances in David Fincher's crime thriller Seven (1995) and the science fiction film 12 Monkeys (1995).,summary,,Brad Pitt.csv,Brad Pitt
2004,41,"Brad Pitt cemented Brad Pitt's leading man status starring in blockbusters such as the historical epic Troy (2004), the romantic crime film Mr. & Mrs. Smith (2005), the horror film World War Z (2013), and the action film Bullet Train (2022).",summary,,Brad Pitt.csv,Brad Pitt
2008,45,"Brad Pitt received Academy Award nominations for Brad Pitt's performances in The Curious Case of Benjamin Button (2008) and Moneyball (2011), and Brad Pitt won the Academy Award for Best Supporting Actor for playing a stuntman in Once Upon a Time in Hollywood (2019).In 2001, Brad Pitt co-founded the production company Plan B Entertainment.",summary,,Brad Pitt.csv,Brad Pitt
2006,43,"Brad Pitt produced The Departed (2006), 12 Years a Slave (2013), and Moonlight (2016), all of which won the Academy Award for Best Picture, while others such as The Tree of Life (2011), Moneyball (2011), Selma (2014), and The Big Short (2015) were nominated for the Academy Award.[0",summary,,Brad Pitt.csv,Brad Pitt
1963,0,"Brad Pitt was born on December 18, 1963, in Shawnee, Oklahoma, to William Alvin Pitt, the proprietor of a trucking company, and Jane Etta (née Hillhouse), a school counselor.",Early life,,Brad Pitt.csv,Brad Pitt
1982,19,"Following Brad Pitt's graduation from high school, Brad Pitt enrolled in the University of Missouri in 1982, majoring in journalism with a focus on advertising.",Early life,,Brad Pitt.csv,Brad Pitt
1987,24,"In May 1987, Brad Pitt made Brad Pitt's television debut in a two-episode role on the NBC soap opera Another World.",Career,Early work (1987–1993),Brad Pitt.csv,Brad Pitt
1989,26,"Brad Pitt made two motion picture appearances in 1989: the first in a supporting role in the comedy Happy Together; the second a featured role in the horror film Cutting Class, the first of Brad Pitt's films to reach theaters.",Career,Early work (1987–1993),Brad Pitt.csv,Brad Pitt
1995,32,"Despite Brad Pitt's winning two MTV Movie Awards at the 1995 ceremony, Brad Pitt's performance was poorly received.",Career,Breakthrough (1994–1998),Brad Pitt.csv,Brad Pitt
2000,37,"Mick LaSalle of the San Francisco Chronicle said Brad Pitt was ""ideally cast as an Irishman whose accent is so thick even Brits can't understand himan Irishman whose accent is so thick even Brits can't understand him"", going on to say that, before Guy Ritchie's 2000 gangster film Snatch, Brad Pitt had been ""shackled by roles that called for brooding introspection, but recently Brad Pitt has found Brad Pitt's calling in black comic outrageousness and flashy extroversion;"" while Amy Taubin of The Village Voice claimed that ""Brad Pitt gets maximum comic mileage out of a one-joke role"".",Career,Rise to prominence (1999–2003),Brad Pitt.csv,Brad Pitt
2001,38,"Mark Holcomb of Salon.com enjoyed 2001's $143 million-grossing Cold War thriller Spy Game, although Salon.com noted that neither Brad Pitt nor Robert Redford's provided ""much of an emotional connection for the audience"".",Career,Rise to prominence (1999–2003),Brad Pitt.csv,Brad Pitt
2004,41,"Brad Pitt had two major film roles in 2004, starring as Achilles in Troy, and reprising his role, Rusty Ryan, in the sequel Ocean's Twelve.",Career,Worldwide recognition (2004–2008),Brad Pitt.csv,Brad Pitt
2008,45,"Brad Pitt was later cast as Benjamin Button, the lead in David Fincher's 2008 film The Curious Case of Benjamin Button, a loosely adapted version of a 1921 short story by F. Scott Fitzgerald.",Career,Worldwide recognition (2004–2008),Brad Pitt.csv,Brad Pitt
2011,48,"Brad Pitt produced and appeared in Terrence Malick's experimental drama The Tree of Life, co-starring Sean Penn, which won the Palme d'Or at the 2011 Cannes Film Festival.",Career,Established actor (2009–present),Brad Pitt.csv,Brad Pitt
2017,54,"Brad Pitt played a recurring role as a weatherman on the late-night talk show The Jim Jefferies Show throughout 2017.A 2017 sequel to World War Z was in announced in 2016, before 2017.A 2017 sequel to World War Z was briefly delayed, then confirmed to be directed by David Fincher, and then ultimately shelved due to budget issues.",Career,Established actor (2009–present),Brad Pitt.csv,Brad Pitt
2004,41,"Brad Pitt visited the University of Missouri campus in October 2004 to encourage students to vote in the 2004 U.S. presidential election, in which Brad Pitt supported John Kerry.",Philanthropy and activism,,Brad Pitt.csv,Brad Pitt
2006,43,"In an October 2006 interview with Esquire, Brad Pitt said that Brad Pitt would marry Jolie when everyone in America is legally able to marry.",Philanthropy and activism,,Brad Pitt.csv,Brad Pitt
2012,49,"In March 2012, Brad Pitt was featured in a performance of Dustin Lance Black's play, 8 – a staged reenactment of the federal trial that overturned California's Prop 8 ban on same-sex marriage – as Judge Vaughn Walker.",Philanthropy and activism,,Brad Pitt.csv,Brad Pitt
2005,42,"Brad Pitt was finalized by the Los Angeles Superior Court on October 2, 2005.",Personal life,Relationships,Brad Pitt.csv,Brad Pitt
2008,45,"Brad Pitt adopted three-year-old Pax Thien in the United States on February 21, 2008.At the Cannes Film Festival in May 2008, Jolie confirmed that Jolie was expecting twins.",Personal life,Children,Brad Pitt.csv,Brad Pitt
2016,53,"In September 2016, the FBI and the Los Angeles Department of Children and Family Services investigated Brad Pitt for child abuse following an incident on a plane, where Brad Pitt was accused by an anonymous person of being ""verbally abusive"" and ""physical"" towards one of the children's.",Personal life,Children,Brad Pitt.csv,Brad Pitt
2022,59,"In 2022, Brad Pitt said that Brad Pitt had struggled for years to recognize people's faces due to prosopagnosia (face blindness).",Personal life,Prosopagnosia,Brad Pitt.csv,Brad Pitt
2013,50,"In a 2013 interview, Brad Pitt said that Brad Pitt's inability to recognize people's faces had become so severe that Brad Pitt often wanted to stay home.",Personal life,Prosopagnosia,Brad Pitt.csv,Brad Pitt
1995,32,"Brad Pitt has been cited as a sex symbol by many sources, including Empire, who named Brad Pitt one of the 25 sexiest stars in film history in 1995.",Public image,,Brad Pitt.csv,Brad Pitt
1995,32,"1995, Brad Pitt was named People's Sexiest Man Alive, an accolade Brad Pitt received again in 2000.",Public image,,Brad Pitt.csv,Brad Pitt
2009,46,"Brad Pitt was again included on the Time 100 list, a compilation of the 100 most influential people in the world, as selected annually by Time magazine in 2009, this time in the ""Builders and Titans"" list.",Public image,,Brad Pitt.csv,Brad Pitt
1955,57,"According to C.S. Lewis's 1955 memoir Surprised by Joy, C.S. Lewis was baptized in the Church of Ireland but fell away from C.S. Lewis's faith during adolescence.",summary,,C.S. Lewis.csv,C.S. Lewis
2013,115,"In 2013, on the 50th anniversary of C.S. Lewis's , C.S. Lewis was honoured with a memorial in Poets' Corner in Westminster Abbey.",summary,,C.S. Lewis.csv,C.S. Lewis
1898,0,"C.S. Lewis was born in Belfast in Ulster, Ireland (before partition), on 29 November 1898.",Biography,Childhood,C.S. Lewis.csv,C.S. Lewis
1899,1,"C.S. Lewis had an elder brother,  Warren Hamilton Lewis (known as ""Warnie""). C.S. Lewis was baptized on 29 January 1899 by C.S. Lewis's maternal grandfather in St Mark's Church, Dundela.",Biography,Childhood,C.S. Lewis.csv,C.S. Lewis
1916,18,"In 1916, C.S. Lewis was awarded a scholarship at University College, Oxford.",Biography,Childhood,C.S. Lewis.csv,C.S. Lewis
1918,20,"On 15 April 1918, as the 1st Battalion of the regiment, then serving in France assaulted the village of Riez du Vinage in the midst of the German spring offensive, C.S. Lewis was wounded and two of C.S. Lewis's colleagues were killed by a British shell falling short of its targeta British shell falling short of its target's .",Biography,First World War and Oxford University,C.S. Lewis.csv,C.S. Lewis
1918,20,C.S. Lewis was demobilized in December 1918 and soon restarted C.S. Lewis's studies.,Biography,First World War and Oxford University,C.S. Lewis.csv,C.S. Lewis
1898,0,"It seems most likely that C.S. Lewis was bound to Jack by the promise C.S. Lewis had given to another cadet, Edward Courtnay Francis ""Paddy"" Moore (1898–1918) and that C.S. Lewis's promise was reinforced by C.S. Lewis's love for his mother, Janie King Moore as C.S. Lewis's second mother.",Biography,Janie Moore,C.S. Lewis.csv,C.S. Lewis
1926,28,"C.S. Lewis became a member of the Church of England – somewhat to the disappointment of his Oxford colleague and friend J. R. R. Tolkien, whom he seems to have met for the first time on 11 May 1926 was a committed Anglican who upheld a largely orthodox Anglican theology, though in C.S. Lewis's apologetic writings, C.S. Lewis made an effort to avoid espousing any one denomination.",Biography,Return to Christianity,C.S. Lewis.csv,C.S. Lewis
1951,53,C.S. Lewis was named on the last list of honours by George VI in December 1951 as a Commander of the Order of the British Empire (CBE) but declined so as to avoid association with any political issues.,Biography,Honour declined,C.S. Lewis.csv,C.S. Lewis
1925,27,"C.S. Lewis was then elected a Fellow of Magdalen College, Oxford, where he worked for nearly thirty years, from 1925 to 1954.",Career,Scholar,C.S. Lewis.csv,C.S. Lewis
1954,56,"In 1954, C.S. Lewis was awarded the newly founded chair of Mediaeval and Renaissance Literature at Cambridge University, and was elected a fellow of Magdalen College, Oxford, where he worked for nearly thirty years, from 1925 to 1954.",Career,Scholar,C.S. Lewis.csv,C.S. Lewis
1964,66,"C.S. Lewis's last academic work, The Discarded Image: An Introduction to Medieval and Renaissance Literature (1964), is a summary of the medieval world view, a reference to the ""discarded image"" of the cosmos.[0",Career,Scholar,C.S. Lewis.csv,C.S. Lewis
2013,115,"In 2013, on the 50th anniversary of C.S. Lewis's death, C.S. Lewis joined some of Britain's greatest writers recognized at Poets' Corner, Westminster Abbey.",Legacy,,C.S. Lewis.csv,C.S. Lewis
1961,0,"Carl Lewis was born in Birmingham, Alabama, on July 1, 1961, the son of William Lewis (1927–1987) and Evelyn née Lawler Lewis.",Athletic career,Fame as a competitive athlete,Carl Lewis.csv,Carl Lewis
1979,18,"By the end of 1979, Carl Lewis was ranked fifth in the world for the long jump, according to Track and Field News.",Athletic career,Fame as a competitive athlete,Carl Lewis.csv,Carl Lewis
1980,19,"Carl Lewis worked with Tom Tellez and adapted Carl Lewis's technique so that Carl Lewis was able to jump without pain, and Carl Lewis went on to win the 1980 National Collegiate Athletic Association (NCAA) title with a wind-assisted jump of 8.35 m (27 ft 4+1⁄2 in).Though Carl Lewis's focus was on the long jump, Carl Lewis was now starting to emerge as a talent in the sprints.",Athletic career,Fame as a competitive athlete,Carl Lewis.csv,Carl Lewis
1982,21,"In response to a question about Carl Lewis's skipping a 1982 long jump competition at altitude, Carl Lewis said, ""Carl Lewis want the record and Carl Lewis plan to get the record, but not at altitude.",Athletic career,Breakthrough in 1981 and 1982,Carl Lewis.csv,Carl Lewis
1979,18,Carl Lewis's relatively modest best from 1979 (10.67 s) improved to a world-class 10.21 the next year.,Athletic career,Breakthrough in 1981 and 1982,Carl Lewis.csv,Carl Lewis
1984,23,"At the 1984 Olympic Games in Los Angeles, Carl Lewis was entered into four events with realistic prospects of winning each of four events and thereby matching the achievement of Jesse Owens at the 1936 Games in Berlin.[0",Athletic career,1984 Summer Olympics: emulating Jesse Owens,Carl Lewis.csv,Carl Lewis
1984,23,"Coca-Cola had offered a lucrative deal to Carl Lewis before the 1984 Olympic Games, but Carl Lewis and Lewis's agent Joe Douglas turned a lucrative deal down, confident that Carl Lewis would be worth more after the 1984 Olympic Games.",Athletic career,1984 Summer Olympics: emulating Jesse Owens,Carl Lewis.csv,Carl Lewis
1984,23,"Similarly, Carl Lewis was drafted by the Dallas Cowboys as a wide receiver in the 12th round of the 1984 NFL Draft, even though Carl Lewis did not play football in college.",Athletic career,1984 Summer Olympics: emulating Jesse Owens,Carl Lewis.csv,Carl Lewis
1984,23,"After the 1984 Olympics, Carl Lewis continued to dominate track and field, especially in the long jump, in which Carl Lewis would remain undefeated for the next seven years, but others started to challenge Carl Lewis's dominance in the 100 m sprint.",Athletic career,Ben Johnson and the 1987 World Championships,Carl Lewis.csv,Carl Lewis
1984,23,"In response to the accusations, Canadian Ben Johnson, the bronze medalist behind Lewis at the 1984 Olympics replied ""When Carl Lewis was winning everything, Canadian Ben Johnson, the bronze medalist behind Lewis at the 1984 Olympics never said a word against Carl Lewis.",Athletic career,Ben Johnson and the 1987 World Championships,Carl Lewis.csv,Carl Lewis
1988,27,Carl Lewis was deemed to be the world record holder for Carl Lewis's 1988 Olympic performance and declared the 1987 100 m World Champion.,Athletic career,1988 Summer Olympics,Carl Lewis.csv,Carl Lewis
1991,30,"Carl Lewis's 1991 outstanding results earned Carl Lewis the ABC's Wide World of Sports Athlete of the Year, an award Carl Lewis shared with gymnastics star Kim Zmeskal.",Athletic career,1991 World Championships: Lewis' greatest performances,Carl Lewis.csv,Carl Lewis
2016,55,"Carl Lewis became the third Olympian to win the same individual event four times, joining Danish sailor Paul Elvstrøm and American discus thrower Al Oerter; Danish sailor Paul Elvstrøm and American discus thrower Al Oerter would be joined by American swimmer Michael Phelps in 2016.",Athletic career,Final years and retirement,Carl Lewis.csv,Carl Lewis
1999,38,"In 1999, Carl Lewis was voted ""Sportsman of the Century"" by the International Olympic Committee, elected ""World Athlete of the Century"" by the International Association of Athletics Federations and named ""Olympian of the Century"" by Sports Illustrated.",Achievements and honors,Honors,Carl Lewis.csv,Carl Lewis
2000,39,"In 2000 Carl Lewis's alma mater University of Houston named the Carl Lewis International Complex after Carl Lewis.In 2010, Carl Lewis was inducted into the New Jersey Hall of Fame.",Achievements and honors,Honors,Carl Lewis.csv,Carl Lewis
2016,55,"In 2016, Carl Lewis was inducted into the Texas Track and Field Coaches Association Hall of Fame.",Achievements and honors,Honors,Carl Lewis.csv,Carl Lewis
2018,57,"As of 2018, Carl Lewis serves as an assistant track coach at Carl Lewis's alma mater, the University of Houston.",Career after retiring from athletics,Coaching,Carl Lewis.csv,Carl Lewis
2001,19,"Catherine, Princess of Wales was educated at St Andrew's School and Marlborough College before studying art history at the University of St Andrews in Scotland, where Catherine, Princess of Wales met William, Prince of Wales, heir apparent to the British throne in 2001.",summary,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
1982,0,"Catherine, Princess of Wales was born on 9 January 1982 at the Royal Berkshire Hospital in Reading into an upper-middle-class family.","Early life, education and career",,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
1982,0,"Catherine, Princess of Wales was baptised at St Andrew's's Bradfield, a local parish church, on 20 June 1982.","Early life, education and career",,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
1986,4,"When an upper-middle-class family returned to Berkshire in September 1986, Catherine, Princess of Wales was enrolled aged four at St Andrew's.","Early life, education and career",,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2000,18,"While at Marlborough College, a co-educational boarding school in Wiltshire, where she showed talent in sports and was captain of the women's field hockey team, Catherine, Princess of Wales underwent an operation on the left side of Catherine, Princess of Wales's head, reportedly to remove a lump. Catherine, Princess of Wales obtained three A-Levels in 2000, with an 'A' in mathematics, an 'A' in art, and a 'B' in English.","Early life, education and career",,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2011,29,"Catherine, Princess of Wales also worked until January 2011 at the family business in catalogue design and production, marketing, and photography.","Early life, education and career",,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2002,20,"Catherine, Princess of Wales reportedly caught Prince William's eye at a charity fashion show at the University of St Andrews in 2002 when Catherine, Princess of Wales appeared on the stage wearing a see-through lace dress.",Personal life,Pre-wedding relationship with Prince William,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2006,24,"Catherine, Princess of Wales attended Prince William's Passing Out Parade at the Royal Military Academy Sandhurst on 15 December 2006.",Personal life,Pre-wedding relationship with Prince William,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2010,28,"Catherine, Princess of Wales became engaged in October 2010, in Kenya, during a 10-day trip to the Lewa Wildlife Conservancy to celebrate Prince William passing the RAF helicopter search and rescue course.",Personal life,Marriage and children,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2015,33,"Catherine, Princess of Wales gave birth to Princess Charlotte on 2 May 2015 and to Prince Louis on 23 April 2018.",Personal life,Marriage and children,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2011,29,"Catherine, Princess of Wales was formally introduced to public life on 24 February 2011, when their attended a lifeboat-naming ceremony in Trearddur, near their's home at that time in Anglesey, North Wales.",Public life,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2012,30,"Prince William Catherine, Princess of Wales were announced as ambassadors for the 2012 Summer Olympics in London.",Public life,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2012,30,"As part of Catherine, Princess of Wales's role, Catherine, Princess of Wales attended numerous sporting events throughout the 2012 Summer Olympics in London.",Public life,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2017,35,"Catherine, Princess of Wales takes official portraits of Catherine, Princess of Wales's children and joined the Royal Photographic Society in 2017.",Public life,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2019,37,"Catherine, Princess of Wales became patron of the Foundling Museum, in 2019.",Charity work,Patronages and interests,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2020,38,"Catherine, Princess of Wales was also a local volunteer leader with The Scout Association in north Wales, of which Queen Elizabeth II was patron, before being made co-president in September 2020, alongside the Duke of Kent.",Charity work,Patronages and interests,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2021,39,"On 24 June 2021, Catherine, Princess of Wales was announced as patron of The Forward Trust after The Forward Trust's merger with Action for Children.",Charity work,Patronages and interests,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2012,30,"Catherine, Princess of Wales made Catherine, Princess of Wales's first public address at the opening of East Anglia's Children's Hospices's Ipswich facility in 2012, which EACH deputy director Tracy Rennie cited as creating a ""global interest"" in children's hospices.",Charity work,Patronages and interests,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2019,37,"Catherine, Princess of Wales officially opened East Anglia's Children's Hospices's Norfolk hospice in 2019, after previously launching East Anglia's Children's Hospices's financial appeal in 2014, which raised £10m.",Charity work,Patronages and interests,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2021,39,"the final 100 photographs were published in a book on 7 May 2021, titled Hold Still: A Portrait of Our Nation in 2020, with a foreword written by Catherine, Princess of Wales.In May 2020, Catherine, Princess of Wales received Catherine, Princess of Wales's first dose of COVID-19 vaccine by NHS Charities Together at the Science Museum in London, encouraging use of the vaccine and thanking NHS staff for ""playing a part in the rollout"".",Charity work,Patronages and interests,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2007,25,"Catherine, Princess of Wales was named one of Richard Blackwell's ten Fabulous Fashion Independents of 2007.",Public image and style,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2011,29,"In May 2011, Catherine, Princess of Wales was ranked ninth in FHM's top 10 list of the ""World's Most Beautiful Women"".",Public image and style,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2011,29,"In 2011, 2012 and 2012, Catherine, Princess of Wales was listed as one of Time magazine's 100 Most Influential People in the World.",Public image and style,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2014,32,"In 2014, Catherine, Princess of Wales was lauded as a British cultural icon, with young adults from abroad naming Catherine, Princess of Wales among a group of people who young adults from abroad most associated with UK culture.",Public image and style,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2014,32,"Catherine, Princess of Wales was also named in the International Best Dressed Hall of Fame List in 2014.In June 2016",Public image and style,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2022,40,"Catherine, Princess of Wales topped Tatler's Best Dressed List in 2022.The",Public image and style,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2013,31,"Catherine, Princess of Wales has worn Jenny Packham numerous times, most notably outside the Lindo Wing after giving birth to each of Catherine, Princess of Wales's children in 2013, 2015, and 2018 respectively, and at the No Time to Die premiere in London when Catherine, Princess of Wales appeared in a dress inspired by Shirley Eaton's character in Goldfinger.",Public image and style,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2021,39,"Catherine, Princess of Wales was also chosen as one of the 25 most influential women in the United Kingdom by British Vogue in August 2021.Speaking to The Times for Catherine, Princess of Wales's 40th birthday, Catherine, Princess of Wales's aides stated that Catherine, Princess of Wales does not accept ""advice on a PR basis"" and will ""never do something because Catherine, Princess of Wales thinks the media will like something.""",Public image and style,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2022,40,"In December 2022, Catherine, Princess of Wales was found to be the second most liked member of the royal family by statistics and polling company YouGov, while an Ipsos favourability poll in April 2023 suggested that Catherine, Princess of Wales was the most liked member.",Public image and style,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2005,23,"In 2005 after Catherine, Princess of Wales was chased by the paparazzi on Catherine, Princess of Wales's way to an interview, her elder son, William's consulted Catherine, Princess of Wales and Catherine, Princess of Wales's father and penned a legal letter to newspapers requesting that newspapers respect Catherine, Princess of Wales's privacy.",Privacy and the media,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2006,24,"In April 2006, Catherine, Princess of Wales's issued new warnings to the Daily Mail, the Daily Star and The Sun and the picture agencies Big Pictures and Matrix after the Daily Mail, the Daily Star and The Sun and the picture agencies Big Pictures and Matrix published photographs of Catherine, Princess of Wales on a bus during a shopping trip.",Privacy and the media,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
2007,25,"Media attention increased around the time of Catherine, Princess of Wales's 25th birthday in January 2007, where twenty photographers and five television crews photographed Catherine, Princess of Wales's leaving for work.",Privacy and the media,,"Catherine, Princess of Wales.csv","Catherine, Princess of Wales"
1890,0,"Charles de Gaulle was born on 22 November 1890 in Lille in the Nord department, the third of five children.",Early life,Childhood and origins,Charles de Gaulle.csv,Charles de Gaulle
1930,40,"At the age of fifteen Charles de Gaulle wrote an essay imagining ""General de Gaulle"" leading the French Army to victory over Germany in 1930; Charles de Gaulle later wrote that in Charles de Gaulle's youth Charles de Gaulle had looked forward with somewhat naive anticipation to the inevitable future war with Germany to avenge the French defeat of 1870.France during Charles de Gaulle's teenage years was a divided society, with many developments which were unwelcome to the de Gaulle family: the growth of socialism and syndicalism, the legal separation of Church and state in 1905, and the reduction in the term of military service to two years.",Early life,Education and intellectual influences,Charles de Gaulle.csv,Charles de Gaulle
1909,19,Charles de Gaulle won a place at Saint-Cyr in 1909.,Early career,Officer cadet and lieutenant,Charles de Gaulle.csv,Charles de Gaulle
1909,19,"Accordingly, in October 1909, Charles de Gaulle enlisted (for four years, as required, rather than the normal two-year term for conscripts) in the 33rd Infantry Regiment [fr] of the French Army, based at Arras.",Early career,Officer cadet and lieutenant,Charles de Gaulle.csv,Charles de Gaulle
1910,20,In April 1910 Charles de Gaulle was promoted to corporal.,Early career,Officer cadet and lieutenant,Charles de Gaulle.csv,Charles de Gaulle
1910,20,"Charles de Gaulle's company commander declined to promote Charles de Gaulle to sergeant, the usual rank for a potential officer, commenting that Charles de Gaulle clearly felt that nothing less than Constable of France would be good enough for Charles de Gaulle. Charles de Gaulle was eventually promoted to sergeant in September 1910.De",Early career,Officer cadet and lieutenant,Charles de Gaulle.csv,Charles de Gaulle
1922,32,Charles de Gaulle studied at the École de Guerre (staff college) from November 1922 to October 1924.,Early career,Between the wars,Charles de Gaulle.csv,Charles de Gaulle
1926,36,"There was at least one stormy meeting late in 1926 after which Charles de Gaulle was seen to emerge, white with anger, from his instructor Colonel Moyrand's office.",Early career,Between the wars,Charles de Gaulle.csv,Charles de Gaulle
1927,37,"After spending twelve years as a captain, a normal period, Charles de Gaulle was promoted to commandant (major) on 25 September 1927.",Early career,Between the wars,Charles de Gaulle.csv,Charles de Gaulle
1926,36,Charles de Gaulle wanted a teaching post at the École de Guerre (staff college) in 1926.,Early career,Between the wars,Charles de Gaulle.csv,Charles de Gaulle
1931,41,"Charles de Gaulle was posted to SGDN in November 1931, initially as a ""drafting officer"".",Early career,Between the wars,Charles de Gaulle.csv,Charles de Gaulle
1940,50,"Charles de Gaulle's service at SGDN gave Charles de Gaulle six years' experience of the interface between army planning and government, enabling Charles de Gaulle to take on ministerial responsibilities in 1940.:",Early career,Between the wars,Charles de Gaulle.csv,Charles de Gaulle
1934,44,"There is no evidence that Charles de Gaulle was tempted by fascism, and there is little evidence of Charles de Gaulle's views either on domestic upheavals in 1934 and 1936 or the many foreign policy crises of 1934 and 1936.",Early career,Between the wars,Charles de Gaulle.csv,Charles de Gaulle
1936,46,"Charles de Gaulle approved of the rearmament drive which the Popular Front government began in 1936, although French military doctrine remained that tanks should be used in penny packets for infantry support (ironically, in 1940 it would be German panzer units that would be used in a manner similar to what Charles de Gaulle had advocated).",Early career,Between the wars,Charles de Gaulle.csv,Charles de Gaulle
1937,47,"Charles de Gaulle was put in command of the 507th Tank Regiment (consisting of a battalion of medium Char D2s and a battalion of R35 light tanks) at Metz on 13 July 1937, and Charles de Gaulle's promotion to full colonel took effect on 24 December 1937.",Early career,Between the wars,Charles de Gaulle.csv,Charles de Gaulle
1940,50,"In late-February 1940, Reynaud told Charles de Gaulle that Charles de Gaulle had been earmarked for command of an armoured division as soon as one became available.",World War II,Early war,Charles de Gaulle.csv,Charles de Gaulle
