,0,1,2,3
442,1953,"Planning for this had begun in 1953 under the code-name of ""Operation Hope Not"" and a detailed plan had been produced by 1958.",Later life: 1955–1965,"Death, funeral and memorials"
443,1973,"His statue in Parliament Square was unveiled by his widow Clementine in 1973 and is one of only twelve in the square, all of prominent political figures, including Churchill's friend Lloyd George and his India policy nemesis Gandhi.",Later life: 1955–1965,"Death, funeral and memorials"
444,2002,"An indication of Churchill's high esteem in the UK is the result of the 2002 BBC poll, attracting 447,423 votes, in which he was voted the greatest Briton of all time, his nearest rival being Isambard Kingdom Brunel some 56,000 votes behind.",Later life: 1955–1965,"Death, funeral and memorials"
445,1999,The United States Navy honoured him in 1999 by naming a new Arleigh Burke-class destroyer as the USS Winston S. Churchill.,Later life: 1955–1965,"Death, funeral and memorials"
446,1946,"Other memorials in North America include the National Churchill Museum in Fulton, Missouri, where he made the 1946 ""Iron Curtain"" speech; Churchill Square in central Edmonton, Alberta; and the Winston Churchill Range, a mountain range northwest of Lake Louise, also in Alberta, which was renamed after Churchill in 1956.",Later life: 1955–1965,"Death, funeral and memorials"
447,1965," Main article: Death and state funeral of Winston Churchill Churchill's grave at St Martin's Church, Bladon Churchill suffered his final stroke on 12 January 1965 and died twelve days later on 24 January, the seventieth anniversary of his father's death.",Later life: 1955–1965,"Death, funeral and memorials"
448,1852,"Like the Duke of Wellington in 1852 and William Gladstone in 1898, Churchill was given a state funeral.",Later life: 1955–1965,"Death, funeral and memorials"
449,1953,"Planning for this had begun in 1953 under the code-name of ""Operation Hope Not"" and a detailed plan had been produced by 1958.",Later life: 1955–1965,"Death, funeral and memorials"
450,1973,"His statue in Parliament Square was unveiled by his widow Clementine in 1973 and is one of only twelve in the square, all of prominent political figures, including Churchill's friend Lloyd George and his India policy nemesis Gandhi.",Later life: 1955–1965,"Death, funeral and memorials"
451,2002,"An indication of Churchill's high esteem in the UK is the result of the 2002 BBC poll, attracting 447,423 votes, in which he was voted the greatest Briton of all time, his nearest rival being Isambard Kingdom Brunel some 56,000 votes behind.",Later life: 1955–1965,"Death, funeral and memorials"
452,1999,The United States Navy honoured him in 1999 by naming a new Arleigh Burke-class destroyer as the USS Winston S. Churchill.,Later life: 1955–1965,"Death, funeral and memorials"
453,1946,"Other memorials in North America include the National Churchill Museum in Fulton, Missouri, where he made the 1946 ""Iron Curtain"" speech; Churchill Square in central Edmonton, Alberta; and the Winston Churchill Range, a mountain range northwest of Lake Louise, also in Alberta, which was renamed after Churchill in 1956.",Later life: 1955–1965,"Death, funeral and memorials"
454,1953," Main articles: Winston Churchill as painter and Winston Churchill as writer Further information: 1953 Nobel Prize in Literature Allies (1995) by Lawrence Holofcener, a sculptural group depicting Franklin D. Roosevelt and Churchill in New Bond Street, London Churchill was a prolific writer.","Artist, historian, and writer",
455,1953,"In recognition of his ""mastery of historical and biographical description"" and oratorial output, Churchill received the Nobel Prize in Literature in 1953.","Artist, historian, and writer",
456,1937,"For many years, he relied heavily upon his press articles to assuage his financial worries: in 1937, for example, he wrote 64 published articles and some of his contracts were quite lucrative.","Artist, historian, and writer",
457,1915,"As well as writing, Churchill became an accomplished amateur artist after his resignation from the Admiralty in 1915.","Artist, historian, and writer",
458,1953," Main articles: Winston Churchill as painter and Winston Churchill as writer Further information: 1953 Nobel Prize in Literature Allies (1995) by Lawrence Holofcener, a sculptural group depicting Franklin D. Roosevelt and Churchill in New Bond Street, London Churchill was a prolific writer.","Artist, historian, and writer",
459,1953,"In recognition of his ""mastery of historical and biographical description"" and oratorial output, Churchill received the Nobel Prize in Literature in 1953.","Artist, historian, and writer",
460,1937,"For many years, he relied heavily upon his press articles to assuage his financial worries: in 1937, for example, he wrote 64 published articles and some of his contracts were quite lucrative.","Artist, historian, and writer",
461,1915,"As well as writing, Churchill became an accomplished amateur artist after his resignation from the Admiralty in 1915.","Artist, historian, and writer",
462,1973," The statue of Churchill (1973) by Ivor Roberts-Jones in Parliament Square, London Roy Jenkins concludes his biography of Churchill by comparing him favourably with W. E. Gladstone and summarising:  I now put Churchill, with all his idiosyncrasies, his indulgences, his occasional childishness, but also his genius, his tenacity and his persistent ability, right or wrong, successful or unsuccessful, to be larger than life, as the greatest human being ever to occupy 10 Downing Street.",Legacy and assessments,"""A man of destiny"""
463,1973," The statue of Churchill (1973) by Ivor Roberts-Jones in Parliament Square, London Roy Jenkins concludes his biography of Churchill by comparing him favourably with W. E. Gladstone and summarising:  I now put Churchill, with all his idiosyncrasies, his indulgences, his occasional childishness, but also his genius, his tenacity and his persistent ability, right or wrong, successful or unsuccessful, to be larger than life, as the greatest human being ever to occupy 10 Downing Street.",Legacy and assessments,"""A man of destiny"""
464,1921, See also: Racial views of Winston Churchill The British Empire at its territorial peak in 1921 Assessments of Churchill's legacy are largely based on his leadership of the British people in the Second World War.,Legacy and assessments,Imperialism and racial views
465,1906,"In 1906, Churchill stated that ""We will endeavour ... to advance the principle of equal rights of civilised men irrespective of colour"".",Legacy and assessments,Imperialism and racial views
466,1904,"Addison makes the point that Churchill opposed anti-Semitism (as in 1904, when he was fiercely critical of the proposed Aliens Bill) and argues that he would never have tried ""to stoke up racial animosity against immigrants, or to persecute minorities"".",Legacy and assessments,Imperialism and racial views
467,1947,"Philip Murphy says that, following the independence of India in 1947, Churchill adopted a more pragmatic stance towards empire, although he continued to use imperial rhetoric.",Legacy and assessments,Imperialism and racial views
468,1921, See also: Racial views of Winston Churchill The British Empire at its territorial peak in 1921 Assessments of Churchill's legacy are largely based on his leadership of the British people in the Second World War.,Legacy and assessments,Imperialism and racial views
469,1906,"In 1906, Churchill stated that ""We will endeavour ... to advance the principle of equal rights of civilised men irrespective of colour"".",Legacy and assessments,Imperialism and racial views
470,1904,"Addison makes the point that Churchill opposed anti-Semitism (as in 1904, when he was fiercely critical of the proposed Aliens Bill) and argues that he would never have tried ""to stoke up racial animosity against immigrants, or to persecute minorities"".",Legacy and assessments,Imperialism and racial views
471,1947,"Philip Murphy says that, following the independence of India in 1947, Churchill adopted a more pragmatic stance towards empire, although he continued to use imperial rhetoric.",Legacy and assessments,Imperialism and racial views
472,2012,"Writing in 2012–13 for the International Churchill Society, David Freeman counted 62 in total, excluding non-English books, to the end of the 20th century.",Cultural depictions,
473,1954,"At a public ceremony in Westminster Hall on 30 November 1954, Churchill's 80th birthday, the joint Houses of Parliament presented him with a full-length portrait of himself, which had been painted by Graham Sutherland.",Cultural depictions,
474,1972,"Notable screen biographical films include Young Winston (1972), directed by Richard Attenborough and featuring Simon Ward in the title role with Anne Bancroft and Robert Shaw as his parents; Winston Churchill: The Wilderness Years (1981; co-written by Martin Gilbert), starring Robert Hardy as Churchill and Siân Phillips as Clementine; The Gathering Storm (2002), starring Albert Finney as Churchill and Vanessa Redgrave as Clementine; Into the Storm (2009), starring Brendan Gleeson as Churchill and Janet McTeer as Clementine; Darkest Hour (2017), starring Gary Oldman as Churchill.",Cultural depictions,
475,2016,John Lithgow played Churchill in The Crown (2016–2019).,Cultural depictions,
476,2012,"Writing in 2012–13 for the International Churchill Society, David Freeman counted 62 in total, excluding non-English books, to the end of the 20th century.",Cultural depictions,
477,1954,"At a public ceremony in Westminster Hall on 30 November 1954, Churchill's 80th birthday, the joint Houses of Parliament presented him with a full-length portrait of himself, which had been painted by Graham Sutherland.",Cultural depictions,
478,1972,"Notable screen biographical films include Young Winston (1972), directed by Richard Attenborough and featuring Simon Ward in the title role with Anne Bancroft and Robert Shaw as his parents; Winston Churchill: The Wilderness Years (1981; co-written by Martin Gilbert), starring Robert Hardy as Churchill and Siân Phillips as Clementine; The Gathering Storm (2002), starring Albert Finney as Churchill and Vanessa Redgrave as Clementine; Into the Storm (2009), starring Brendan Gleeson as Churchill and Janet McTeer as Clementine; Darkest Hour (2017), starring Gary Oldman as Churchill.",Cultural depictions,
479,2016,John Lithgow played Churchill in The Crown (2016–2019).,Cultural depictions,
480,1908, Further information: Descendants of Winston Churchill Churchill married Clementine Hozier in September 1908.,Family and ancestry,Marriage and children
481,1909,"The Churchills' first child, Diana, was born in July 1909; the second, Randolph, in May 1911.",Family and ancestry,Marriage and children
482,1914,"Their third, Sarah, was born in October 1914, and their fourth, Marigold, in November 1918.",Family and ancestry,Marriage and children
483,1921,"Marigold died in August 1921, from sepsis of the throat, and she was buried in Kensal Green Cemetery.",Family and ancestry,Marriage and children
484,2019,"Although her remains were re-located to Bladon churchyard in 2019 to join the rest of her family, her cenotaph still stands at Kensal Green.",Family and ancestry,Marriage and children
485,1922,"On 15 September 1922, the Churchills' last child, Mary, was born.",Family and ancestry,Marriage and children
486,1965,"Later that month, the Churchills bought Chartwell, which would be their home until Winston's death in 1965.",Family and ancestry,Marriage and children
487,1908, Further information: Descendants of Winston Churchill Churchill married Clementine Hozier in September 1908.,Family and ancestry,Marriage and children
488,1909,"The Churchills' first child, Diana, was born in July 1909; the second, Randolph, in May 1911.",Family and ancestry,Marriage and children
489,1914,"Their third, Sarah, was born in October 1914, and their fourth, Marigold, in November 1918.",Family and ancestry,Marriage and children
490,1921,"Marigold died in August 1921, from sepsis of the throat, and she was buried in Kensal Green Cemetery.",Family and ancestry,Marriage and children
491,2019,"Although her remains were re-located to Bladon churchyard in 2019 to join the rest of her family, her cenotaph still stands at Kensal Green.",Family and ancestry,Marriage and children
492,1922,"On 15 September 1922, the Churchills' last child, Mary, was born.",Family and ancestry,Marriage and children
493,1965,"Later that month, the Churchills bought Chartwell, which would be their home until Winston's death in 1965.",Family and ancestry,Marriage and children
494,2009,"   ^ Price 2009, p. 12.",References,Citations
495,2001,"^ Jenkins 2001, p. 5.",References,Citations
496,1991,"^ Gilbert 1991, p. 1; Jenkins 2001, pp.",References,Citations
497,1991,"^ Gilbert 1991, p. 1; Best 2001, p. 3; Jenkins 2001, p. 7; Robbins 2014, p. 2.",References,Citations
498,2001,"^ Best 2001, p. 4; Jenkins 2001, pp.",References,Citations
499,2005,"5–6; Addison 2005, p. 7.",References,Citations
500,1991,"^ Gilbert 1991, p. 1; Addison 2005, p. 9.",References,Citations
501,1991,"^ Gilbert 1991, p. 2; Jenkins 2001, p. 7; Addison 2005, p. 10.",References,Citations
502,2001,"^ Jenkins 2001, p. 8.",References,Citations
503,1991,"^ Gilbert 1991, pp.",References,Citations
504,2001,"2–3; Jenkins 2001, p. 10; Reagles & Larsen 2013, p. 8.",References,Citations
505,2001,"^ Best 2001, p. 6.",References,Citations
506,1991,"^ Gilbert 1991, pp.",References,Citations
507,2003,"3–5; Haffner 2003, p. 12; Addison 2005, p. 10.",References,Citations
508,1991,"^ Gilbert 1991, pp.",References,Citations
509,2003,"6–8; Haffner 2003, pp. 12–13.",References,Citations
510,1991,"^ Gilbert 1991, pp. 17–19.",References,Citations
511,1991,"^ Gilbert 1991, p. 22; Jenkins 2001, p. 19.",References,Citations
512,1991,"^ Gilbert 1991, pp.",References,Citations
513,2001,"32–33, 37; Jenkins 2001, p. 20; Haffner 2003, p. 15.",References,Citations
514,1991,"^ Gilbert 1991, p. 37; Jenkins 2001, p. 20–21.",References,Citations
515,1991,"^ Gilbert 1991, pp.",References,Citations
516,2001,"48–49; Jenkins 2001, p. 21; Haffner 2003, p. 32.",References,Citations
517,2003,"^ Haffner 2003, p. 18.",References,Citations
518,1991,"^ Gilbert 1991, p. 51; Jenkins 2001, p. 21.",References,Citations
519,1991,"^ Gilbert 1991, p. 62; Jenkins 2001, p. 28.",References,Citations
520,1991,"^ Gilbert 1991, pp.",References,Citations
521,2001,"56, 58–60; Jenkins 2001, pp.",References,Citations
522,2014,"28–29; Robbins 2014, pp. 14–15.",References,Citations
523,1991,"^ Jump up to: a b c d e f g h i j k l Herbert G. Nicholas, Winston Churchill at the Encyclopædia Britannica  ^ Gilbert 1991, p. 57.",References,Citations
524,1991,"^ Gilbert 1991, p. 63; Jenkins 2001, p. 22.",References,Citations
525,1991,"^ Gilbert 1991, p. 63; Jenkins 2001, pp. 23–24.",References,Citations
526,2001,"^ Jenkins 2001, pp.",References,Citations
527,2003,"23–24; Haffner 2003, p. 19.",References,Citations
528,1991,"^ Gilbert 1991, pp.",References,Citations
529,2001,"67–68; Jenkins 2001, pp.",References,Citations
530,2003,"24–25; Haffner 2003, p. 19.",References,Citations
531,2018,"^ Roberts 2018, p. 52.",References,Citations
532,1991,"^ Gilbert 1991, p. 92.",References,Citations
533,2013,"^ Reagles & Larsen 2013, p. 8.",References,Citations
534,1980,"^ Addison 1980, p. 29; Reagles & Larsen 2013, p. 9.",References,Citations
535,2003,"^ Haffner 2003, p. 32; Reagles & Larsen 2013, p. 8.",References,Citations
536,1991,"^ Gilbert 1991, p. 102.",References,Citations
537,2001,"^ Jenkins 2001, p. 26.",References,Citations
538,1991,"^ Gilbert 1991, p. 69; Jenkins 2001, p. 27.",References,Citations
539,1991,"^ Gilbert 1991, pp.",References,Citations
540,2001,"69, 71; Jenkins 2001, p. 27.",References,Citations
541,1991,"^ Gilbert 1991, p. 70.",References,Citations
542,1991,"^ Gilbert 1991, pp.",References,Citations
543,2001,"72, 75; Jenkins 2001, pp. 29–31.",References,Citations
544,1991,"^ Gilbert 1991, pp.",References,Citations
545,2001,"79, 81–82; Jenkins 2001, pp.",References,Citations
546,2003,"31–32; Haffner 2003, pp. 21–22.",References,Citations
547,1980,"^ Addison 1980, p. 31; Gilbert 1991, p. 81; Jenkins 2001, pp. 32–34.",References,Citations
548,2001,"^ Jenkins 2001, p. 819.",References,Citations
549,1991,"^ Gilbert 1991, pp.",References,Citations
550,2001,"89–90; Jenkins 2001, pp.",References,Citations
551,2003,"35, 38–39; Haffner 2003, p. 21.",References,Citations
552,1991,"^ Gilbert 1991, pp.",References,Citations
553,2001,"91–98; Jenkins 2001, pp. 39–41.",References,Citations
554,2001,"^ Jenkins 2001, pp.",References,Citations
555,2003,"34, 41, 50; Haffner 2003, p. 22.",References,Citations
556,1980,"^ Addison 1980, p. 32; Gilbert 1991, pp.",References,Citations
557,2001,"98–99; Jenkins 2001, p. 41.",References,Citations
558,2001,"^ Jenkins 2001, pp. 41–44.",References,Citations
559,2003,"^ Haffner 2003, p. x.",References,Citations
560,2001,"^ Jenkins 2001, p. 42.",References,Citations
561,1991,"^ Gilbert 1991, pp.",References,Citations
562,2001,"103–104; Jenkins 2001, pp.",References,Citations
563,2003,"45–46; Haffner 2003, p. 23.",References,Citations
564,1991,"^ Gilbert 1991, p. 104.",References,Citations
565,1991,"^ Gilbert 1991, p. 105; Jenkins 2001, p. 47.",References,Citations
566,1950,(1950).,References,Citations
567,2020,Retrieved 11 November 2020.,References,Citations
568,1991,"^ Gilbert 1991, pp.",References,Citations
569,2001,"105–106; Jenkins 2001, p. 50.",References,Citations
570,1991,"^ Gilbert 1991, pp. 107–110.",References,Citations
571,1991,"^ Gilbert 1991, pp.",References,Citations
572,2001,"111–113; Jenkins 2001, pp.",References,Citations
573,2003,"52–53; Haffner 2003, p. 25.",References,Citations
574,1991,"^ Gilbert 1991, pp.",References,Citations
575,2001,"115–120; Jenkins 2001, pp. 55–62.",References,Citations
576,1991,"^ Gilbert 1991, p. 121; Jenkins 2001, p. 61.",References,Citations
577,1991,"^ Gilbert 1991, pp.",References,Citations
578,2001,"121–122; Jenkins 2001, pp. 61–62.",References,Citations
579,1991,"^ Gilbert 1991, pp.",References,Citations
580,2001,"123–124, 126–129; Jenkins 2001, p. 62.",References,Citations
581,1991,"^ Gilbert 1991, p. 125.",References,Citations
582,2001,"^ Jenkins 2001, p. 63.",References,Citations
583,1991,"^ Gilbert 1991, pp. 128–131.",References,Citations
584,1991,"^ Gilbert 1991, pp. 135–136.",References,Citations
585,1991,"^ Gilbert 1991, p. 136.",References,Citations
586,2001,"^ Jenkins 2001, p. 65.",References,Citations
587,1991,"^ Gilbert 1991, pp.",References,Citations
588,2001,"136–138; Jenkins 2001, pp. 68–70.",References,Citations
589,1991,"^ Gilbert 1991, p. 141.",References,Citations
590,1991,"^ Gilbert 1991, p. 139; Jenkins 2001, pp. 71–73.",References,Citations
591,1970,"^ Rhodes James 1970, p. 16; Jenkins 2001, pp. 76–77.",References,Citations
592,1991,"^ Gilbert 1991, pp.",References,Citations
593,2001,"141–144; Jenkins 2001, pp. 74–75.",References,Citations
594,1991,"^ Gilbert 1991, p. 144.",References,Citations
595,1991,"^ Gilbert 1991, p. 145.",References,Citations
596,1991,"^ Gilbert 1991, p. 150.",References,Citations
597,1991,"^ Gilbert 1991, pp. 151–152.",References,Citations
598,1970,"^ Rhodes James 1970, p. 22.",References,Citations
599,1991,"^ Jump up to: a b Gilbert 1991, p. 162.",References,Citations
600,1991,"^ Gilbert 1991, p. 153.",References,Citations
601,1991,"^ Gilbert 1991, pp.",References,Citations
602,1991,"^ Gilbert 1991, p. 157.",References,Citations
603,1991,"^ Gilbert 1991, p. 160; Jenkins 2001, p. 84.",References,Citations
604,1991,"^ Jump up to: a b Gilbert 1991, p. 165.",References,Citations
605,1991,"^ Gilbert 1991, p. 165; Jenkins 2001, p. 88.",References,Citations
606,1991,"^ Gilbert 1991, pp.",References,Citations
607,2001,"173–174; Jenkins 2001, p. 103.",References,Citations
608,1991,"^ Gilbert 1991, pp.",References,Citations
609,1991,"^ Gilbert 1991, p. 175; Jenkins 2001, p. 109.",References,Citations
610,1970,"^ Rhodes James 1970, p. 16; Gilbert 1991, p. 175.",References,Citations
611,1991,"^ Gilbert 1991, p. 171; Jenkins 2001, p. 100.",References,Citations
612,2001,"^ Jenkins 2001, pp. 102–103.",References,Citations
613,1991,"^ Gilbert 1991, p. 172.",References,Citations
614,1970,"^ Rhodes James 1970, p. 23; Gilbert 1991, p. 174; Jenkins 2001, p. 104.",References,Citations
615,2001,"^ Jenkins 2001, pp. 104–105.",References,Citations
616,1991,"^ Gilbert 1991, p. 174; Jenkins 2001, p. 105.",References,Citations
617,1991,"^ Gilbert 1991, p. 176; Jenkins 2001, pp.",References,Citations
618,1991,"^ Gilbert 1991, p. 182.",References,Citations
619,1991,"^ Gilbert 1991, p. 177.",References,Citations
620,1991,"^ Gilbert 1991, p. 177; Jenkins 2001, pp. 111–113.",References,Citations
621,1991,"^ Gilbert 1991, p. 183.",References,Citations
622,1970,"^ Rhodes James 1970, p. 33; Gilbert 1991, p. 194; Jenkins 2001, p. 129.",References,Citations
623,2001,"^ Jenkins 2001, p. 129.",References,Citations
624,1991,"^ Gilbert 1991, pp.",References,Citations
625,2001,"194–195; Jenkins 2001, p. 130.",References,Citations
626,1991,"^ Gilbert 1991, p. 195; Jenkins 2001, pp. 130–131.",References,Citations
627,1991,"^ Gilbert 1991, pp. 198–200.",References,Citations
628,2001,"^ Jenkins 2001, pp. 139–142.",References,Citations
629,1991,"^ Gilbert 1991, pp. 204–205.",References,Citations
630,2001,"^ Jenkins 2001, p. 203.",References,Citations
631,1991,"^ Gilbert 1991, p. 195.",References,Citations
632,1991,"^ Jump up to: a b Gilbert 1991, p. 199.",References,Citations
633,1991,"^ Gilbert 1991, p. 200.",References,Citations
634,2001,"^ Jenkins 2001, p. 143.",References,Citations
635,1991,"^ Gilbert 1991, pp. 193–194.",References,Citations
636,1991,"^ Gilbert 1991, p. 196.",References,Citations
637,1991,"^ Gilbert 1991, pp.",References,Citations
638,2001,"203–204; Jenkins 2001, p. 150.",References,Citations
639,1991,"^ Gilbert 1991, p. 204; Jenkins 2001, pp. 150–151.",References,Citations
640,1991,"^ Gilbert 1991, p. 201; Jenkins 2001, p. 151.",References,Citations
641,2001,"^ Jenkins 2001, pp.",References,Citations
642,2007,"154–157; Toye 2007, pp. 54–55.",References,Citations
643,1991,"^ Gilbert 1991, pp.",References,Citations
644,2001,"198–199; Jenkins 2001, pp. 154–155.",References,Citations
645,2001,"^ Jenkins 2001, pp. 157–159.",References,Citations
646,1991,"^ Gilbert 1991, pp.",References,Citations
647,2001,"205, 210; Jenkins 2001, p. 164.",References,Citations
648,1991,"^ Gilbert 1991, p. 206.",References,Citations
649,1991,"^ Gilbert 1991, p. 211; Jenkins 2001, p. 167.",References,Citations
650,2001,"^ Jenkins 2001, pp. 167–168.",References,Citations
651,1991,"^ Gilbert 1991, pp. 216–217.",References,Citations
652,1958,"^ Moritz 1958, p. 429; Gilbert 1991, p. 211; Jenkins 2001, p. 169.",References,Citations
653,1958,"^ Moritz 1958, pp.",References,Citations
654,1991,"428–429; Gilbert 1991, p. 212; Jenkins 2001, p. 179.",References,Citations
655,1958,"^ Moritz 1958, p. 434; Gilbert 1991, p. 212.",References,Citations
656,1991,"^ Gilbert 1991, p. 212; Jenkins 2001, p. 181.",References,Citations
657,1958,"^ Moritz 1958, p. 434; Gilbert 1991, p. 215.",References,Citations
658,1958,"^ Moritz 1958, p. 434; Gilbert 1991, p. 212; Jenkins 2001, p. 181.",References,Citations
659,1991,"^ Gilbert 1991, p. 213.",References,Citations
660,1958,"^ Moritz 1958, p. 433; Gilbert 1991, pp. 213–214.",References,Citations
661,2001,"^ Jenkins 2001, p. 183.",References,Citations
662,1991,"^ Gilbert 1991, pp. 221–222.",References,Citations
663,2001,"^ Jump up to: a b Jenkins 2001, p. 186.",References,Citations
664,1991,"^ Jump up to: a b c Gilbert 1991, p. 221.",References,Citations
665,1991,"^ Jump up to: a b Gilbert 1991, p. 219; Jenkins 2001, p. 198.",References,Citations
666,1991,"^ Gilbert 1991, p. 220.",References,Citations
667,2001,"^ Jenkins 2001, p. 199.",References,Citations
668,1970,"^ Rhodes James 1970, p. 38.",References,Citations
669,1991,"^ Gilbert 1991, p. 222; Jenkins 2001, pp.",References,Citations
670,1991,"^ Gilbert 1991, p. 222; Jenkins 2001, p. 194.",References,Citations
671,1991,"^ Jump up to: a b Gilbert 1991, p. 224; Jenkins 2001, p. 195.",References,Citations
672,1991,"^ Gilbert 1991, p. 224.",References,Citations
673,1991,"^ Gilbert 1991, p. 226; Jenkins 2001, pp. 177–178.",References,Citations
674,1991,"^ Jump up to: a b Gilbert 1991, p. 226; Jenkins 2001, p. 178.",References,Citations
675,1991,"^ Jump up to: a b Gilbert 1991, p. 227; Jenkins 2001, p. 203.",References,Citations
676,1991,"^ Gilbert 1991, pp.",References,Citations
677,2001,"230–233; Jenkins 2001, pp. 200–201.",References,Citations
678,1991,"^ Gilbert 1991, p. 235.",References,Citations
679,2001,"^ Jenkins 2001, p. 202.",References,Citations
680,1991,"^ Gilbert 1991, p. 239; Jenkins 2001, p. 205; Bell 2011, p. 335.",References,Citations
681,1991,"^ Gilbert 1991, p. 249; Jenkins 2001, p. 207.",References,Citations
682,1991,"^ Gilbert 1991, p. 23.",References,Citations
683,1991,"^ Gilbert 1991, p. 243; Bell 2011, p. 336.",References,Citations
684,1991,"^ Gilbert 1991, pp. 243–245.",References,Citations
685,1991,"^ Gilbert 1991, p. 247.",References,Citations
686,1991,"^ Gilbert 1991, p. 242; Bell 2011, pp. 249–251.",References,Citations
687,1991,"^ Gilbert 1991, p. 240.",References,Citations
688,1991,"^ Gilbert 1991, p. 251.",References,Citations
689,1991,"^ Gilbert 1991, pp.",References,Citations
690,2011,"253–254; Bell 2011, pp. 342–343.",References,Citations
691,1991,"^ Gilbert 1991, pp. 260–261.",References,Citations
692,1991,"^ Gilbert 1991, p. 256; Jenkins 2001, p. 233.",References,Citations
693,1970,"^ Rhodes James 1970, pp.",References,Citations
694,1991,"44–45; Gilbert 1991, pp.",References,Citations
695,2001,"249–250; Jenkins 2001, pp. 233–234.",References,Citations
696,1989,"^ Jump up to: a b O'Brien 1989, p. 68.",References,Citations
697,1970,"^ Rhodes James 1970, pp.",References,Citations
698,1991,"47–49; Gilbert 1991, pp. 256–257.",References,Citations
699,1991,"^ Gilbert 1991, pp. 257–258.",References,Citations
700,1991,"^ Gilbert 1991, p. 277.",References,Citations
701,1991,"^ Gilbert 1991, pp. 277–279.",References,Citations
702,1991,"^ Gilbert 1991, p. 279.",References,Citations
703,1991,"^ Jump up to: a b Gilbert 1991, p. 285.",References,Citations
704,1970,"^ Rhodes James 1970, p. 62; Gilbert 1991, pp.",References,Citations
705,2001,"282–285; Jenkins 2001, p. 249.",References,Citations
706,1970,"^ Rhodes James 1970, p. 62; Gilbert 1991, p. 286; Jenkins 2001, pp. 250–251.",References,Citations
707,1970,"^ Rhodes James 1970, p. 62.",References,Citations
708,1991,"^ Gilbert 1991, p. 289.",References,Citations
709,1991,"^ Gilbert 1991, pp.",References,Citations
710,1970,"^ Rhodes James 1970, pp.",References,Citations
711,1991,"64–67; Gilbert 1991, pp.",References,Citations
712,2001,"291–292; Jenkins 2001, pp.",References,Citations
713,1970,"^ Rhodes James 1970, pp.",References,Citations
714,1991,"72–74; Gilbert 1991, pp.",References,Citations
715,1970,"^ Rhodes James 1970, p. 78; Gilbert 1991, p. 309.",References,Citations
716,1970,"^ Rhodes James 1970, p. 79; Gilbert 1991, pp.",References,Citations
717,2001,"316–316; Jenkins 2001, pp. 273–274.",References,Citations
718,1991,"^ Gilbert 1991, pp.",References,Citations
719,2001,"319–320; Jenkins 2001, p. 276.",References,Citations
720,1991,"^ Gilbert 1991, p. 328.",References,Citations
721,1991,"^ Gilbert 1991, pp. 329–332.",References,Citations
722,1991,"^ Gilbert 1991, pp. 340–341.",References,Citations
723,1916,24 March 1916. p. 3260.,References,Citations
724,1991,"^ Gilbert 1991, pp. 342–245.",References,Citations
725,1991,"^ Gilbert 1991, p. 346.",References,Citations
726,1980,"^ Green, David (1980).",References,Citations
727,1991,"^ Gilbert 1991, p. 360.",References,Citations
728,1916,16 September 1916. p. 9100.,References,Citations
729,1991,"^ Gilbert 1991, pp.",References,Citations
730,1927,^ Jump up to: a b Churchill 1927.,References,Citations
731,1970,"^ Rhodes James 1970, p. 86; Gilbert 1991, pp.",References,Citations
732,1970,"^ Rhodes James 1970, p. 89; Gilbert 1991, pp.",References,Citations
733,1991,"^ Gilbert 1991, p. 373.",References,Citations
734,1970,"^ Rhodes James 1970, p. 90; Gilbert 1991, p. 374.",References,Citations
735,1991,"^ Gilbert 1991, pp.",References,Citations
736,1991,"^ Gilbert 1991, pp. 392–393.",References,Citations
737,1991,"^ Gilbert 1991, pp. 379–380.",References,Citations
738,1991,"^ Jump up to: a b c Gilbert 1991, p. 403.",References,Citations
739,1970,"^ Rhodes James 1970, p. 91; Gilbert 1991, p. 403.",References,Citations
740,1991,"^ Jump up to: a b Gilbert 1991, p. 404.",References,Citations
741,1970,"^ Rhodes James 1970, p. 100; Gilbert 1991, pp. 404–405.",References,Citations
742,1970,"^ Rhodes James 1970, p. 101; Gilbert 1991, p. 406.",References,Citations
743,1991,"^ Gilbert 1991, pp. 406–407.",References,Citations
744,1991,"^ Gilbert 1991, p. 401.",References,Citations
745,1970,"^ Rhodes James 1970, pp.",References,Citations
746,1991,"105–106; Gilbert 1991, p. 411.",References,Citations
747,1970,"^ Rhodes James 1970, pp.",References,Citations
748,1991,"102, 104; Gilbert 1991, p. 405.",References,Citations
749,1991,"^ Gilbert 1991, pp. 411–412.",References,Citations
750,1970,"^ Rhodes James 1970, p. 123; Gilbert 1991, p. 420.",References,Citations
751,1970,"^ Rhodes James 1970, pp.",References,Citations
752,1991,"126–127; Gilbert 1991, pp.",References,Citations
753,1995,"422, 425; Jordan 1995, pp. 70–75.",References,Citations
754,1991,"^ Gilbert 1991, pp.",References,Citations
755,2009,"424–425; Douglas 2009, p. 861.",References,Citations
756,1991,"^ Gilbert 1991, p. 428.",References,Citations
757,1991,"^ Jump up to: a b c Gilbert 1991, p. 431.",References,Citations
758,1991,"^ Gilbert 1991, pp.",References,Citations
759,2016,"^ Brooks, Richard (28 February 2016).",References,Citations
760,2022,Retrieved 27 January 2022.,References,Citations
761,1991,"^ Gilbert 1991, p. 441.",References,Citations
762,1970,"^ Rhodes James 1970, p. 133; Gilbert 1991, pp. 432–434.",References,Citations
763,1991,"^ Gilbert 1991, p. 435.",References,Citations
